;Мартини Асти Asti Martini D.O.C.G. алк 7%;17;750;2350;1;
;Абрау Дюрсо Полусладкое и брют;17;750;870;2;
;Российское Шампанское  полусладкое;17;750;420;3;
;Белое Полусладкое и сухое;18;150/500/1000;80/265/530;1;
;Красное Полусладкое и сухое;18;150/500/1000;80/265/530;2;
;Алазанская Долина, Грузия  Белое и красное полусладкое, алк. 9-15%;19;150/750;220/1100;3;
;Саперави, Грузия Красное сухое, алк. 13,5%;19;750;1100;1;
;Цинандали, Грузия Белое сухое, алк. 9-15%;19;750;1200;2;
;Делиссимо, Италия Delissimo белое и красное полусладкое, алк. 10,5 %;19;150/750;200/1000;3;
;Вальжан, Франция Valjean белое и красное сухое, алк. 10,5-11%;19;150/750;180/870;4;
;Мускат, Крым Белое полусладкое, алк. 10-12%;19;150/750;120/580;5;
;Саперави, Крым Красное полусладкое алк. 10-12%;19;150/750;120/580;6;
